Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
0.37650	1.01643E5	2942.21324	92.82809	-23344.46588
0.37519	1.01551E5	2941.21324	92.57365	-23389.49936
0.37389	1.01459E5	2940.21324	92.32077	-23434.30054
0.37259	1.01367E5	2939.21324	92.06945	-23478.87090
0.37130	1.01275E5	2938.21324	91.81967	-23523.21190
0.37001	1.01183E5	2937.21324	91.57142	-23567.32501
0.36873	1.01092E5	2936.21324	91.32469	-23611.21168
0.36746	1.01001E5	2935.21324	91.07946	-23654.87334
0.36619	1.00910E5	2934.21324	90.83573	-23698.31141
0.36493	1.00819E5	2933.21324	90.59348	-23741.52732
0.36367	1.00729E5	2932.21324	90.35271	-23784.52246
0.36242	1.00639E5	2931.21324	90.11340	-23827.29823
0.36118	1.00549E5	2930.21324	89.87554	-23869.85601
0.35994	1.00459E5	2929.21324	89.63913	-23912.19718
0.35870	1.00370E5	2928.21324	89.40414	-23954.32309
0.35747	1.00281E5	2927.21324	89.17057	-23996.23511
0.35625	1.00192E5	2926.21324	88.93841	-24037.93457
0.35503	1.00103E5	2925.21324	88.70765	-24079.42281
0.35382	1.00015E5	2924.21324	88.47828	-24120.70114
0.35261	99926.35393	2923.21324	88.25028	-24161.77088
0.35141	99838.33028	2922.21324	88.02365	-24202.63334
0.35022	99750.53190	2921.21324	87.79838	-24243.28980
0.34903	99662.95744	2920.21324	87.57446	-24283.74155
0.34784	99575.60556	2919.21324	87.35188	-24323.98987
0.34666	99488.47494	2918.21324	87.13062	-24364.03601
0.34549	99401.56426	2917.21324	86.91068	-24403.88124
0.34432	99314.87220	2916.21324	86.69205	-24443.52679
0.34315	99228.39748	2915.21324	86.47472	-24482.97391
0.34199	99142.13880	2914.21324	86.25868	-24522.22382
0.34084	99056.09489	2913.21324	86.04392	-24561.27775
0.33969	98970.26446	2912.21324	85.83043	-24600.13689
0.33854	98884.64626	2911.21324	85.61820	-24638.80246
0.33741	98799.23904	2910.21324	85.40722	-24677.27565
0.33627	98714.04155	2909.21324	85.19749	-24715.55763
0.33514	98629.05256	2908.21324	84.98899	-24753.64958
0.33402	98544.27085	2907.21324	84.78171	-24791.55267
0.33290	98459.69519	2906.21324	84.57566	-24829.26806
0.33178	98375.32438	2905.21324	84.37081	-24866.79689
0.33067	98291.15723	2904.21324	84.16716	-24904.14031
0.32957	98207.19253	2903.21324	83.96470	-24941.29945
0.32847	98123.42911	2902.21324	83.76342	-24978.27543
0.32737	98039.86580	2901.21324	83.56331	-25015.06936
0.32628	97956.50143	2900.21324	83.36437	-25051.68237
0.32520	97873.33485	2899.21324	83.16659	-25088.11554
0.32412	97790.36490	2898.21324	82.96995	-25124.36997
0.32304	97707.59044	2897.21324	82.77445	-25160.44674
0.32197	97625.01035	2896.21324	82.58009	-25196.34693
0.32090	97542.62350	2895.21324	82.38685	-25232.07161
0.31984	97460.42878	2894.21324	82.19472	-25267.62184
0.31878	97378.42507	2893.21324	82.00371	-25302.99867
0.31773	97296.61128	2892.21324	81.81379	-25338.20315
0.31668	97214.98631	2891.21324	81.62497	-25373.23632
0.31563	97133.54908	2890.21324	81.43723	-25408.09921
0.31459	97052.29852	2889.21324	81.25056	-25442.79283
0.31355	96971.23355	2888.21324	81.06497	-25477.31821
